REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGTITUDE,RADIUSSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
160070268, , , , ,-7909259.839616258,5203523.669654099, , , , ,1/7/2016,5:01:00 PM, , ,05/06/2017 14:44:53, , ,mv
160070288, , , , ,-7907376.75911,5210521.31608684, , , , ,1/7/2016,6:01:00 PM, , ,05/06/2017 14:44:53, , ,mv
160070327, , , , ,-7910955.23546104,5203329.71958382, , , , ,1/7/2016,8:30:23 PM, , ,05/06/2017 14:44:53, , ,ped
160070339, , , , ,-7911927.165935155,5207700.502440743, , , , ,1/7/2016,9:19:00 PM, , ,05/06/2017 14:44:53, , ,mv
160070353, , , , ,-7910618.716640373,5210011.622498422, , , , ,1/7/2016,10:11:00 PM, , ,05/06/2017 14:44:53, , ,mv
160080050, , , , ,-7909032.970494022,5205979.9113916615, , , , ,1/8/2016,4:44:00 AM, , ,05/06/2017 14:44:53, , ,mv
160080135, , , , ,-7914961.957893163,5210988.421268748, , , , ,1/8/2016,10:58:18 AM, , ,05/06/2017 14:44:53, , ,bike
160080173, , , , ,-7908342.455692631,5203972.824500773, , , , ,1/8/2016,12:46:00 PM, , ,05/06/2017 14:44:53, , ,mv
160080247, , , , ,-7912912.78870664,5208491.58847145, , , , ,1/8/2016,4:48:00 PM, , ,05/06/2017 14:44:53, , ,mv
160080250, , , , ,-7915918.414958058,5212094.53749378, , , , ,1/8/2016,4:51:26 PM, , ,05/06/2017 14:44:53, , ,ped
160080256, , , , ,-7906397.147591017,5218141.983972109, , , , ,1/8/2016,5:16:00 PM, , ,05/06/2017 14:44:53, , ,mv
160080339, , , , ,-7913369.0872994,5203252.080481606, , , , ,1/8/2016,9:20:00 PM, , ,05/06/2017 14:44:53, , ,mv
160080374, , , , ,-7913766.720520516,5204008.186003772, , , , ,1/8/2016,11:59:00 PM, , ,05/06/2017 14:44:53, , ,mv
160090003, , , , ,-7915459.333378025,5201751.182792418, , , , ,1/9/2016,12:26:00 AM, , ,05/06/2017 14:44:53, , ,mv
160090037, , , , ,-7910953.565668677,5211637.317083712, , , , ,1/9/2016,2:22:00 AM, , ,05/06/2017 14:44:53, , ,mv
160090050, , , , ,-7911614.024207554,5210830.759400666, , , , ,1/9/2016,2:59:00 AM, , ,05/06/2017 14:44:53, , ,mv
160090117, , , , ,-7911910.80197001,5209601.47835582, , , , ,1/9/2016,10:56:17 AM, , ,05/06/2017 14:44:53, , ,ped
160090199, , , , ,-7910179.895207665,5217931.459128695, , , , ,1/9/2016,2:36:00 PM, , ,05/06/2017 14:44:53, , ,mv
160090215, , , , ,-7916329.072559595,5213665.30899893, , , , ,1/9/2016,3:11:47 PM, , ,05/06/2017 14:44:53, , ,bike
160090318, , , , ,-7910340.529232879,5206252.782820407, , , , ,1/9/2016,9:10:00 PM, , ,05/06/2017 14:44:53, , ,mv
160090358, , , , ,-7912904.32842534,5212258.395240596, , , , ,1/9/2016,11:31:00 PM, , ,05/06/2017 14:44:53, , ,mv
